| Date                      |      Open |     Close |           Volume |     EMA_5 |    KNN_MA |   KnnEmaX |   WeeklyEMA |   WeeklyKNN |   WeeklyKnnEmaX |   TrendConfirmation | TradeOpen   |
| 2020-03-18 00:00:00-04:00 |  21.0906  |  21.8776  |      5.42815e+07 |  32.3947  |  28.9484  |         1 |    39.7497  |    55.4592  |               0 |                   0 | False       |
| 2020-03-19 00:00:00-04:00 |  21.2578  |  21.6611  |      5.07203e+07 |  30.248   |  25.9284  |         1 |    39.7497  |    55.4592  |               0 |                   0 | False       |
| 2020-03-20 00:00:00-04:00 |  22.6252  |  18.8084  |      3.99044e+07 |  27.9601  |  24.9861  |         1 |    39.7497  |    55.4592  |               0 |                   0 | False       |
| 2020-03-23 00:00:00-04:00 |  18.6904  |  17.264   |      5.84962e+07 |  25.8209  |  22.0507  |         1 |    34.6645  |    44.3906  |               0 |                   0 | False       |
| 2020-03-24 00:00:00-04:00 |  20.1462  |  22.0645  |      5.13135e+07 |  25.0696  |  21.0748  |         1 |    34.6645  |    44.3906  |               0 |                   1 | False       |
| 2020-03-25 00:00:00-04:00 |  22.4383  |  22.8908  |      5.6013e+07  |  24.6338  |  20.3351  |         1 |    34.6645  |    44.3906  |               0 |                   1 | False       |
| 2020-03-26 00:00:00-04:00 |  23.7368  |  26.9633  |      4.84825e+07 |  25.0997  |  20.5377  |         1 |    34.6645  |    44.3906  |               0 |                   1 | False       |
| 2020-03-27 00:00:00-04:00 |  24.504   |  24.4942  |      4.2155e+07  |  24.9786  |  21.5982  |         1 |    34.6645  |    44.3906  |               0 |                   1 | False       |
| 2020-03-30 00:00:00-04:00 |  25.1533  |  26.8452  |      3.29796e+07 |  25.3519  |  22.7353  |         1 |    30.6875  |    35.0238  |               0 |                   1 | False       |
| 2020-03-31 00:00:00-04:00 |  26.56    |  25.6255  |      4.32134e+07 |  25.4066  |  24.6516  |         1 |    30.6875  |    35.0238  |               0 |                   1 | False       |
| 2020-04-01 00:00:00-04:00 |  22.7727  |  22.2218  |      3.81896e+07 |  24.7697  |  25.3638  |         0 |    30.6875  |    35.0238  |               0 |                   1 | False       |
| 2020-04-02 00:00:00-04:00 |  21.9956  |  23.7269  |      4.15779e+07 |  24.5611  |  25.23    |         0 |    30.6875  |    35.0238  |               0 |                   1 | False       |
| 2020-04-03 00:00:00-04:00 |  23.4416  |  22.7334  |      4.03901e+07 |  24.1956  |  24.5827  |         0 |    30.6875  |    35.0238  |               0 |                   1 | False       |
| 2020-04-06 00:00:00-04:00 |  25.3894  |  27.3371  |      3.90682e+07 |  24.8239  |  24.2306  |         1 |    30.9446  |    29.6822  |               1 |                   1 | True        |
| 2020-04-07 00:00:00-04:00 |  30.2095  |  27.3273  |      4.78733e+07 |  25.3246  |  24.3289  |         1 |    30.9446  |    29.6822  |               1 |                   1 | True        |
| 2020-04-08 00:00:00-04:00 |  28.2323  |  30.1111  |      3.85761e+07 |  26.2819  |  24.6693  |         1 |    30.9446  |    29.6822  |               1 |                   1 | True        |
| 2020-04-09 00:00:00-04:00 |  31.3113  |  31.4588  |      4.48594e+07 |  27.3173  |  26.2472  |         1 |    30.9446  |    29.6822  |               1 |                   1 | True        |
| 2020-04-13 00:00:00-04:00 |  31.1637  |  30.5833  |      3.51652e+07 |  27.9705  |  27.7935  |         1 |    32.0276  |    26.196   |               1 |                   1 | True        |
| 2020-04-14 00:00:00-04:00 |  32.413   |  33.3279  |      3.06879e+07 |  29.0419  |  29.3635  |         0 |    32.0276  |    26.196   |               1 |                   1 | True        |
| 2020-04-15 00:00:00-04:00 |  31.1539  |  31.1834  |      2.79317e+07 |  29.4702  |  30.5617  |         0 |    32.0276  |    26.196   |               1 |                   1 | True        |
| 2020-04-16 00:00:00-04:00 |  31.6556  |  31.6556  |      3.45325e+07 |  29.9073  |  31.3329  |         0 |    32.0276  |    26.196   |               1 |                   1 | True        |
| 2020-04-17 00:00:00-04:00 |  33.8     |  34.1935  |      3.15621e+07 |  30.7645  |  31.6418  |         0 |    32.0276  |    26.196   |               1 |                   1 | True        |
| 2020-04-20 00:00:00-04:00 |  32.7475  |  32.4032  |      2.86049e+07 |  31.0923  |  32.1887  |         0 |    32.2511  |    26.3377  |               1 |                   1 | True        |
| 2020-04-21 00:00:00-04:00 |  30.6915  |  29.4521  |      3.36794e+07 |  30.7642  |  32.5527  |         0 |    32.2511  |    26.3377  |               1 |                   0 | False       |
| 2020-04-22 00:00:00-04:00 |  31.1342  |  31.39    |      1.8343e+07  |  30.8894  |  31.7775  |         0 |    32.2511  |    26.3377  |               1 |                   0 | False       |
| 2020-04-23 00:00:00-04:00 |  31.8425  |  31.3309  |      3.04953e+07 |  30.9777  |  31.8188  |         0 |    32.2511  |    26.3377  |               1 |                   0 | False       |
| 2020-04-24 00:00:00-04:00 |  31.9212  |  32.6983  |      2.39813e+07 |  31.3218  |  31.7539  |         0 |    32.2511  |    26.3377  |               1 |                   0 | False       |
| 2020-04-27 00:00:00-04:00 |  33.4262  |  34.0951  |      2.11581e+07 |  31.8765  |  31.4549  |         1 |    32.3182  |    29.1156  |               1 |                   0 | True        |
| 2020-04-28 00:00:00-04:00 |  35.5215  |  33.6426  |      3.14524e+07 |  32.2297  |  31.7933  |         1 |    32.3182  |    29.1156  |               1 |                   1 | True        |
| 2020-04-29 00:00:00-04:00 |  35.6592  |  36.2396  |      2.60793e+07 |  33.0317  |  32.6314  |         1 |    32.3182  |    29.1156  |               1 |                   1 | True        |
| 2020-04-30 00:00:00-04:00 |  35.6396  |  35.1674  |      2.55632e+07 |  33.4588  |  33.6013  |         0 |    32.3182  |    29.1156  |               1 |                   1 | True        |
| 2020-05-01 00:00:00-04:00 |  33.3082  |  32.4524  |      2.63889e+07 |  33.2575  |  34.3686  |         0 |    32.3182  |    29.1156  |               1 |                   1 | True        |
| 2020-05-04 00:00:00-04:00 |  31.6752  |  32.6786  |      1.8849e+07  |  33.1417  |  34.3194  |         0 |    33.4778  |    30.7073  |               1 |                   1 | True        |
| 2020-05-05 00:00:00-04:00 |  33.7508  |  33.5738  |      1.86494e+07 |  33.2282  |  34.0361  |         0 |    33.4778  |    30.7073  |               1 |                   0 | False       |
| 2020-05-06 00:00:00-04:00 |  34.2427  |  32.9147  |      1.80551e+07 |  33.1655  |  34.0223  |         0 |    33.4778  |    30.7073  |               1 |                   0 | False       |
| 2020-05-07 00:00:00-04:00 |  34.1246  |  34.105   |      1.52408e+07 |  33.3534  |  33.3574  |         0 |    33.4778  |    30.7073  |               1 |                   0 | False       |
| 2020-05-08 00:00:00-04:00 |  35.3149  |  35.7969  |      1.28519e+07 |  33.8421  |  33.1449  |         1 |    33.4778  |    30.7073  |               1 |                   0 | True        |
| 2020-05-11 00:00:00-04:00 |  34.9903  |  35.7871  |      1.42141e+07 |  34.2311  |  33.8138  |         1 |    33.454   |    33.32    |               1 |                   1 | True        |
| 2020-05-12 00:00:00-04:00 |  36.279   |  33.682   |      1.72761e+07 |  34.1213  |  34.4355  |         0 |    33.454   |    33.32    |               1 |                   0 | False       |
| 2020-05-13 00:00:00-04:00 |  33.4164  |  31.9212  |      2.43269e+07 |  33.6812  |  34.4571  |         0 |    33.454   |    33.32    |               1 |                   0 | False       |
| 2020-05-14 00:00:00-04:00 |  30.9473  |  33.0032  |      3.22025e+07 |  33.5456  |  34.2584  |         0 |    33.454   |    33.32    |               1 |                   0 | False       |
| 2020-05-15 00:00:00-04:00 |  32.1179  |  33.4065  |      2.20575e+07 |  33.5178  |  34.0381  |         0 |    33.454   |    33.32    |               1 |                   0 | False       |
| 2020-05-18 00:00:00-04:00 |  35.8363  |  36.4855  |      1.82805e+07 |  34.1114  |  33.56    |         1 |    34.4973  |    33.7095  |               1 |                   1 | True        |
| 2020-05-19 00:00:00-04:00 |  36.2986  |  35.3936  |      1.80374e+07 |  34.3678  |  33.6997  |         1 |    34.4973  |    33.7095  |               1 |                   1 | True        |
| 2020-05-20 00:00:00-04:00 |  36.7806  |  37.2135  |      1.76011e+07 |  34.9369  |  34.042   |         1 |    34.4973  |    33.7095  |               1 |                   1 | True        |
| 2020-05-21 00:00:00-04:00 |  37.1151  |  36.338   |      1.74679e+07 |  35.2172  |  35.1005  |         1 |    34.4973  |    33.7095  |               1 |                   1 | True        |
| 2020-05-22 00:00:00-04:00 |  36.279   |  36.5839  |      1.27556e+07 |  35.4905  |  35.7674  |         0 |    34.4973  |    33.7095  |               1 |                   1 | True        |
| 2020-05-26 00:00:00-04:00 |  39.0628  |  38.0103  |      1.35277e+07 |  35.9945  |  36.4029  |         0 |    34.4973  |    33.7095  |               1 |                   1 | True        |
| 2020-05-27 00:00:00-04:00 |  39.112   |  39.6039  |      1.7961e+07  |  36.7163  |  36.7079  |         1 |    34.4973  |    33.7095  |               1 |                   1 | True        |
| 2020-05-28 00:00:00-04:00 |  40.0957  |  39.4465  |      1.65992e+07 |  37.2624  |  37.5499  |         0 |    34.4973  |    33.7095  |               1 |                   1 | True        |
| 2020-05-29 00:00:00-04:00 |  39.2301  |  39.8695  |      2.18693e+07 |  37.7838  |  37.9965  |         0 |    34.4973  |    33.7095  |               1 |                   1 | True        |
| 2020-06-01 00:00:00-04:00 |  39.6629  |  40.4302  |      1.15734e+07 |  38.3131  |  38.7028  |         0 |    39.528   |    35.6218  |               1 |                   1 | True        |
| 2020-06-02 00:00:00-04:00 |  40.8237  |  41.4139  |      1.20755e+07 |  38.9332  |  39.4721  |         0 |    39.528   |    35.6218  |               1 |                   1 | True        |
| 2020-06-03 00:00:00-04:00 |  42.3189  |  43.0862  |      1.30478e+07 |  39.7638  |  40.1528  |         0 |    39.528   |    35.6218  |               1 |                   1 | True        |
| 2020-06-04 00:00:00-04:00 |  42.6337  |  42.7222  |      1.45178e+07 |  40.3555  |  40.8492  |         0 |    39.528   |    35.6218  |               1 |                   1 | True        |
| 2020-06-05 00:00:00-04:00 |  45.1913  |  46.0078  |      1.98938e+07 |  41.486   |  41.5044  |         0 |    39.528   |    35.6218  |               1 |                   1 | True        |
| 2020-06-08 00:00:00-04:00 |  46.4308  |  47.6899  |      1.19194e+07 |  42.7267  |  42.732   |         0 |    39.4287  |    38.3329  |               1 |                   1 | True        |
| 2020-06-09 00:00:00-04:00 |  46.3914  |  46.6472  |      1.61222e+07 |  43.5108  |  44.184   |         0 |    39.4287  |    38.3329  |               1 |                   1 | True        |
| 2020-06-10 00:00:00-04:00 |  46.9226  |  45.8897  |      1.95006e+07 |  43.9866  |  45.2307  |         0 |    39.4287  |    38.3329  |               1 |                   1 | True        |
| 2020-06-11 00:00:00-04:00 |  42.5648  |  37.9316  |      3.34373e+07 |  42.7756  |  45.7914  |         0 |    39.4287  |    38.3329  |               1 |                   0 | False       |
| 2020-06-12 00:00:00-04:00 |  40.7646  |  39.2301  |      2.92341e+07 |  42.0665  |  44.8332  |         0 |    39.4287  |    38.3329  |               1 |                   0 | False       |
| 2020-06-15 00:00:00-04:00 |  36.82    |  40.3318  |      2.61723e+07 |  41.7196  |  43.4777  |         0 |    40.1002  |    39.0196  |               1 |                   0 | False       |
| 2020-06-16 00:00:00-04:00 |  43.6666  |  42.6534  |      2.48625e+07 |  41.9063  |  42.0061  |         0 |    40.1002  |    39.0196  |               1 |                   0 | False       |
| 2020-06-17 00:00:00-04:00 |  43.1255  |  42.073   |      1.43254e+07 |  41.9396  |  41.2073  |         1 |    40.1002  |    39.0196  |               1 |                   0 | True        |
| 2020-06-18 00:00:00-04:00 |  41.4631  |  42.1615  |      1.16665e+07 |  41.984   |  40.444   |         1 |    40.1002  |    39.0196  |               1 |                   0 | True        |
| 2020-06-19 00:00:00-04:00 |  43.6961  |  41.4434  |      1.84633e+07 |  41.8759  |  41.2899  |         1 |    40.1002  |    39.0196  |               1 |                   0 | True        |
| 2020-06-22 00:00:00-04:00 |  41.168   |  42.2402  |      1.00164e+07 |  41.9488  |  41.7326  |         1 |    39.3708  |    40.6269  |               0 |                   0 | False       |
| 2020-06-23 00:00:00-04:00 |  43.4278  |  42.8074  |      1.04285e+07 |  42.1205  |  42.1143  |         1 |    39.3708  |    40.6269  |               0 |                   1 | False       |
| 2020-06-24 00:00:00-04:00 |  41.9113  |  39.5577  |      2.16198e+07 |  41.6079  |  42.1451  |         0 |    39.3708  |    40.6269  |               0 |                   1 | False       |
| 2020-06-25 00:00:00-04:00 |  39.3017  |  40.8182  |      1.54484e+07 |  41.45    |  41.642   |         0 |    39.3708  |    40.6269  |               0 |                   1 | False       |
| 2020-06-26 00:00:00-04:00 |  40.3455  |  37.9526  |      2.10541e+07 |  40.7505  |  41.3734  |         0 |    39.3708  |    40.6269  |               0 |                   0 | False       |
| 2020-06-29 00:00:00-04:00 |  38.4055  |  39.4986  |      1.49885e+07 |  40.5001  |  40.6752  |         0 |    40.4441  |    40.8925  |               0 |                   0 | False       |
| 2020-06-30 00:00:00-04:00 |  39.3903  |  41.1727  |      1.52095e+07 |  40.6346  |  40.1269  |         1 |    40.4441  |    40.8925  |               0 |                   0 | False       |
| 2020-07-01 00:00:00-04:00 |  41.5568  |  41.9408  |      1.44611e+07 |  40.8959  |  39.8     |         1 |    40.4441  |    40.8925  |               0 |                   1 | False       |
| 2020-07-02 00:00:00-04:00 |  43.4475  |  42.5908  |      1.46544e+07 |  41.2349  |  40.2766  |         1 |    40.4441  |    40.8925  |               0 |                   1 | False       |
| 2020-07-06 00:00:00-04:00 |  44.3436  |  44.5504  |      1.08348e+07 |  41.898   |  40.6311  |         1 |    41.8818  |    41.4368  |               1 |                   1 | True        |
| 2020-07-07 00:00:00-04:00 |  43.8808  |  43.1915  |      1.11866e+07 |  42.1567  |  41.9507  |         1 |    41.8818  |    41.4368  |               1 |                   1 | True        |
| 2020-07-08 00:00:00-04:00 |  43.5657  |  44.1467  |      9.9596e+06  |  42.5547  |  42.6893  |         0 |    41.8818  |    41.4368  |               1 |                   1 | True        |
| 2020-07-09 00:00:00-04:00 |  44.4717  |  43.4278  |      1.55215e+07 |  42.7293  |  43.284   |         0 |    41.8818  |    41.4368  |               1 |                   1 | True        |
| 2020-07-10 00:00:00-04:00 |  43.4081  |  44.7572  |      1.10637e+07 |  43.1349  |  43.5814  |         0 |    41.8818  |    41.4368  |               1 |                   1 | True        |
| 2020-07-13 00:00:00-04:00 |  45.8109  |  43.6149  |      1.51153e+07 |  43.2309  |  44.0147  |         0 |    43.3918  |    41.1867  |               1 |                   1 | True        |
| 2020-07-14 00:00:00-04:00 |  42.9551  |  45.3087  |      1.61539e+07 |  43.6465  |  43.8276  |         0 |    43.3918  |    41.1867  |               1 |                   1 | True        |
| 2020-07-15 00:00:00-04:00 |  46.8055  |  46.52    |      1.7449e+07  |  44.2212  |  44.2511  |         0 |    43.3918  |    41.1867  |               1 |                   1 | True        |
| 2020-07-16 00:00:00-04:00 |  45.6337  |  46.0571  |      1.07269e+07 |  44.5884  |  44.7257  |         0 |    43.3918  |    41.1867  |               1 |                   1 | True        |
| 2020-07-17 00:00:00-04:00 |  46.52    |  46.4116  |      8.613e+06   |  44.953   |  45.2516  |         0 |    43.3918  |    41.1867  |               1 |                   1 | True        |
| 2020-07-20 00:00:00-04:00 |  46.3624  |  47.5736  |      7.7213e+06  |  45.4771  |  45.5825  |         0 |    44.2704  |    42.623   |               1 |                   1 | True        |
| 2020-07-21 00:00:00-04:00 |  48.5289  |  47.8789  |      1.04008e+07 |  45.9575  |  46.3742  |         0 |    44.2704  |    42.623   |               1 |                   1 | True        |
| 2020-07-22 00:00:00-04:00 |  47.7411  |  48.6766  |      8.2245e+06  |  46.5013  |  46.8883  |         0 |    44.2704  |    42.623   |               1 |                   1 | True        |
| 2020-07-23 00:00:00-04:00 |  48.519   |  47.0025  |      1.47004e+07 |  46.6015  |  47.3196  |         0 |    44.2704  |    42.623   |               1 |                   1 | True        |
| 2020-07-24 00:00:00-04:00 |  46.0768  |  46.0276  |      1.29179e+07 |  46.4868  |  47.5087  |         0 |    44.2704  |    42.623   |               1 |                   0 | False       |
| 2020-07-27 00:00:00-04:00 |  46.3722  |  47.0222  |      7.6748e+06  |  46.5938  |  47.4318  |         0 |    45.6669  |    43.5398  |               1 |                   0 | False       |
| 2020-07-28 00:00:00-04:00 |  46.7169  |  46.2048  |      9.4587e+06  |  46.516   |  47.3215  |         0 |    45.6669  |    43.5398  |               1 |                   0 | False       |
| 2020-07-29 00:00:00-04:00 |  46.5889  |  47.8297  |      8.0891e+06  |  46.7788  |  46.9867  |         0 |    45.6669  |    43.5398  |               1 |                   0 | False       |
| 2020-07-30 00:00:00-04:00 |  46.4412  |  47.3176  |      1.29243e+07 |  46.8865  |  46.8174  |         1 |    45.6669  |    43.5398  |               1 |                   0 | True        |
| 2020-07-31 00:00:00-04:00 |  48.2039  |  48.4599  |      1.25338e+07 |  47.2012  |  46.8804  |         1 |    45.6669  |    43.5398  |               1 |                   0 | True        |
| 2020-08-03 00:00:00-04:00 |  49.2773  |  49.4447  |      6.8191e+06  |  47.6499  |  47.3668  |         1 |    47.7993  |    45.6494  |               1 |                   1 | True        |
| 2020-08-04 00:00:00-04:00 |  49.0409  |  50.006   |      7.1121e+06  |  48.1211  |  47.8513  |         1 |    47.7993  |    45.6494  |               1 |                   1 | True        |
| 2020-08-05 00:00:00-04:00 |  50.6756  |  50.9218  |      7.0092e+06  |  48.6813  |  48.6116  |         1 |    47.7993  |    45.6494  |               1 |                   1 | True        |
| 2020-08-06 00:00:00-04:00 |  50.6953  |  51.9657  |      7.6144e+06  |  49.3381  |  49.23    |         1 |    47.7993  |    45.6494  |               1 |                   1 | True        |
| 2020-08-07 00:00:00-04:00 |  51.5225  |  52.0641  |      1.06392e+07 |  49.8833  |  50.1596  |         0 |    47.7993  |    45.6494  |               1 |                   1 | True        |
| 2020-08-10 00:00:00-04:00 |  52.33    |  52.5664  |      8.0104e+06  |  50.4199  |  50.8805  |         0 |    49.5623  |    47.5441  |               1 |                   1 | True        |
| 2020-08-11 00:00:00-04:00 |  53.1769  |  51.2862  |      1.15058e+07 |  50.5932  |  51.5048  |         0 |    49.5623  |    47.5441  |               1 |                   1 | True        |
| 2020-08-12 00:00:00-04:00 |  52.4876  |  53.3443  |      8.178e+06   |  51.1434  |  51.7608  |         0 |    49.5623  |    47.5441  |               1 |                   1 | True        |
| 2020-08-13 00:00:00-04:00 |  53.0095  |  53.1375  |      8.7079e+06  |  51.5422  |  52.2453  |         0 |    49.5623  |    47.5441  |               1 |                   1 | True        |
| 2020-08-14 00:00:00-04:00 |  52.8913  |  53.0883  |      7.3731e+06  |  51.8515  |  52.4797  |         0 |    49.5623  |    47.5441  |               1 |                   1 | True        |
| 2020-08-17 00:00:00-04:00 |  53.6201  |  53.5708  |      4.2169e+06  |  52.1953  |  52.6845  |         0 |    51.1381  |    49.2103  |               1 |                   1 | True        |
| 2020-08-18 00:00:00-04:00 |  53.817   |  53.9056  |      5.3372e+06  |  52.5374  |  52.8854  |         0 |    51.1381  |    49.2103  |               1 |                   1 | True        |
| 2020-08-19 00:00:00-04:00 |  54.1715  |  53.2458  |      7.0308e+06  |  52.6791  |  53.4093  |         0 |    51.1381  |    49.2103  |               1 |                   0 | False       |
| 2020-08-20 00:00:00-04:00 |  52.3793  |  53.7382  |      5.1678e+06  |  52.8909  |  53.3896  |         0 |    51.1381  |    49.2103  |               1 |                   0 | False       |
| 2020-08-21 00:00:00-04:00 |  53.5905  |  54.2897  |      5.0342e+06  |  53.1707  |  53.5098  |         0 |    51.1381  |    49.2103  |               1 |                   1 | False       |
| 2020-08-24 00:00:00-04:00 |  55.6388  |  55.9736  |      5.6167e+06  |  53.7313  |  53.75    |         0 |    54.0203  |    50.7859  |               1 |                   1 | False       |
| 2020-08-25 00:00:00-04:00 |  56.3183  |  56.5546  |      5.4384e+06  |  54.2959  |  54.2306  |         1 |    54.0203  |    50.7859  |               1 |                   1 | True        |
| 2020-08-26 00:00:00-04:00 |  56.8895  |  58.2484  |      5.6162e+06  |  55.0864  |  54.7604  |         1 |    54.0203  |    50.7859  |               1 |                   1 | True        |
| 2020-08-27 00:00:00-04:00 |  58.7506  |  58.6325  |      8.8076e+06  |  55.7956  |  55.7609  |         1 |    54.0203  |    50.7859  |               1 |                   1 | True        |
| 2020-08-28 00:00:00-04:00 |  59.2135  |  59.7846  |      5.4476e+06  |  56.5934  |  56.7398  |         0 |    54.0203  |    50.7859  |               1 |                   1 | True        |
| 2020-08-31 00:00:00-04:00 |  59.6566  |  59.0855  |      6.5782e+06  |  57.0918  |  57.8388  |         0 |    54.5106  |    53.5373  |               1 |                   1 | True        |
| 2020-09-01 00:00:00-04:00 |  59.5877  |  60.7891  |      4.9463e+06  |  57.8313  |  58.4611  |         0 |    54.5106  |    53.5373  |               1 |                   1 | True        |
